,country_name,variable,value
1,Australia,2020-01-01,0
2,Germany,2020-01-01,0
3,Denmark,2020-01-01,0
4,Finland,2020-01-01,0
5,Hong Kong,2020-01-01,0
6,Japan,2020-01-01,0
7,South Korea,2020-01-01,0
8,Norway,2020-01-01,0
9,New Zealand,2020-01-01,0
10,Singapore,2020-01-01,2
11,Australia,2020-01-02,0
12,Germany,2020-01-02,0
13,Denmark,2020-01-02,0
14,Finland,2020-01-02,0
15,Hong Kong,2020-01-02,0
16,Japan,2020-01-02,0
17,South Korea,2020-01-02,0
18,Norway,2020-01-02,0
19,New Zealand,2020-01-02,0
20,Singapore,2020-01-02,2
21,Australia,2020-01-03,0
22,Germany,2020-01-03,0
23,Denmark,2020-01-03,0
24,Finland,2020-01-03,0
25,Hong Kong,2020-01-03,0
26,Japan,2020-01-03,0
27,South Korea,2020-01-03,0
28,Norway,2020-01-03,0
29,New Zealand,2020-01-03,0
30,Singapore,2020-01-03,2
31,Australia,2020-01-04,0
32,Germany,2020-01-04,0
33,Denmark,2020-01-04,0
34,Finland,2020-01-04,0
35,Hong Kong,2020-01-04,0
36,Japan,2020-01-04,0
37,South Korea,2020-01-04,0
38,Norway,2020-01-04,0
39,New Zealand,2020-01-04,0
40,Singapore,2020-01-04,2
41,Australia,2020-01-05,0
42,Germany,2020-01-05,0
43,Denmark,2020-01-05,0
44,Finland,2020-01-05,0
45,Hong Kong,2020-01-05,0
46,Japan,2020-01-05,0
47,South Korea,2020-01-05,0
48,Norway,2020-01-05,0
49,New Zealand,2020-01-05,0
50,Singapore,2020-01-05,2
51,Australia,2020-01-06,0
52,Germany,2020-01-06,0
53,Denmark,2020-01-06,0
54,Finland,2020-01-06,0
55,Hong Kong,2020-01-06,0
56,Japan,2020-01-06,0
57,South Korea,2020-01-06,0
58,Norway,2020-01-06,0
59,New Zealand,2020-01-06,0
60,Singapore,2020-01-06,2
61,Australia,2020-01-07,0
62,Germany,2020-01-07,0
63,Denmark,2020-01-07,0
64,Finland,2020-01-07,0
65,Hong Kong,2020-01-07,0
66,Japan,2020-01-07,0
67,South Korea,2020-01-07,0
68,Norway,2020-01-07,0
69,New Zealand,2020-01-07,0
70,Singapore,2020-01-07,2
71,Australia,2020-01-08,0
72,Germany,2020-01-08,0
73,Denmark,2020-01-08,0
