,continent,location,population,max_total,max_total_v,max_total_D,human_development_index,per_total,per_total_v,cluster_Death,cluster
1,Asia,India,1393409033,33739980,234399152,321.558,0.645,2.421398111,16.82199171,mid_Death,low_and_low
2,Asia,Turkey,85042736,7095550,44059772,747.989,0.82,8.343510961,51.80897755,high_Death,high_and_low
3,Asia,Iran,85028760,5572962,15646961,1413.169,0.783,6.554208247,18.40196305,Very_high_Death,low_and_low
4,Asia,Indonesia,276361788,4213414,50412993,513.19,0.718,1.524600789,18.24166552,high_Death,low_and_low
5,Asia,Philippines,111046910,2535732,24044260,343.675,0.718,2.283478217,21.65234494,mid_Death,low_and_low
6,Asia,Malaysia,32776195,2232960,20093678,797.622,0.81,6.812749314,61.30570678,high_Death,high_and_low
7,Asia,Iraq,41179351,2000869,2932292,539.615,0.674,4.858913391,7.120782452,high_Death,low_and_low
8,Asia,Japan,126050796,1700687,75044365,139.801,0.919,1.349207664,59.53501872,mid_Death,high_and_low
9,Asia,Thailand,69950844,1591829,15899158,237.595,0.777,2.275639448,22.72904384,mid_Death,low_and_low
10,Asia,Bangladesh,166303494,1555051,16722932,165.282,0.632,0.935068147,10.05567087,mid_Death,low_and_low
11,Asia,Israel,8789776,1277270,5632684,879.658,0.919,14.53131456,64.08222462,high_Death,high_and_high
12,Asia,Pakistan,225199929,1245127,27405873,123.131,0.557,0.552898487,12.16957444,mid_Death,low_and_low
13,Asia,Kazakhstan,18994958,960578,6500573,837.433,0.825,5.057015656,34.22262371,high_Death,low_and_low
14,Asia,Jordan,10269022,822892,3270677,1042.943,0.729,8.013343432,31.84993663,high_Death,low_and_low
15,Asia,Nepal,29674920,794163,6238001,374.828,0.602,2.676209405,21.02112154,mid_Death,low_and_low
16,Asia,Vietnam,98168829,779398,8981400,194.542,0.704,0.793936332,9.148932601,mid_Death,low_and_low
17,Asia,United Arab Emirates,9991083,735727,8238647,209.687,0.89,7.363836333,82.45999958,mid_Death,high_and_low
